<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
EURUSD;D;20210101;000000;1.2213800;1.2213800;1.2213800;1.2213800;16438
EURUSD;D;20210103;000000;1.2240900;1.2252700;1.2229000;1.2249900;74605
EURUSD;D;20210104;000000;1.2249600;1.2309900;1.2237000;1.2252300;2055572
EURUSD;D;20210105;000000;1.2252700;1.2305700;1.2246000;1.2297700;1889008
EURUSD;D;20210106;000000;1.2298700;1.2349500;1.2264000;1.2338000;2648583
EURUSD;D;20210107;000000;1.2337800;1.2344500;1.2243000;1.2268000;2130798
EURUSD;D;20210108;000000;1.2269000;1.2284800;1.2191000;1.2219300;2284057
EURUSD;D;20210110;000000;1.2218000;1.2228400;1.2181000;1.2187100;71401
EURUSD;D;20210111;000000;1.2186300;1.2199800;1.2131000;1.2159000;1909816
EURUSD;D;20210112;000000;1.2160600;1.2209700;1.2135000;1.2208300;1861765
EURUSD;D;20210113;000000;1.2207800;1.2222900;1.2138000;1.2161700;1754699
EURUSD;D;20210114;000000;1.2161900;1.2178500;1.2110000;1.2150500;1781316
EURUSD;D;20210115;000000;1.2150500;1.2162500;1.2072000;1.2074900;1698711
EURUSD;D;20210117;000000;1.2083100;1.2088200;1.2065000;1.2065500;68727
EURUSD;D;20210118;000000;1.2066400;1.2086900;1.2052000;1.2076900;1313389
EURUSD;D;20210119;000000;1.2077800;1.2145000;1.2075000;1.2139100;1553945
EURUSD;D;20210120;000000;1.2138900;1.2158200;1.2075000;1.2114500;1708622
EURUSD;D;20210121;000000;1.2114500;1.2173200;1.2107000;1.2165300;1730773
EURUSD;D;20210122;000000;1.2165400;1.2189600;1.2150000;1.2170200;1599837
EURUSD;D;20210124;000000;1.2169700;1.2171600;1.2160300;1.2167000;41410
EURUSD;D;20210125;000000;1.2166700;1.2183300;1.2114000;1.2142600;1851771
EURUSD;D;20210126;000000;1.2142500;1.2176000;1.2106000;1.2162500;1746069
EURUSD;D;20210127;000000;1.2163300;1.2169800;1.2057000;1.2102000;2239676
EURUSD;D;20210128;000000;1.2102800;1.2142400;1.2079000;1.2119800;2348973
EURUSD;D;20210129;000000;1.2120800;1.2156000;1.2092000;1.2136200;2335818
EURUSD;D;20210131;000000;1.2132000;1.2142200;1.2119000;1.2122700;82551
EURUSD;D;20210201;000000;1.2122700;1.2136500;1.2053000;1.2067700;2019703
EURUSD;D;20210202;000000;1.2067700;1.2087800;1.2010000;1.2036000;1862755
EURUSD;D;20210203;000000;1.2036800;1.2050200;1.2002000;1.2041000;1406126
EURUSD;D;20210204;000000;1.2041300;1.2043000;1.1956000;1.1965600;1455889
EURUSD;D;20210205;000000;1.1966300;1.2050000;1.1951000;1.2047600;1252436
EURUSD;D;20210207;000000;1.2046000;1.2055100;1.2032700;1.2048400;62882
EURUSD;D;20210208;000000;1.2048400;1.2066000;1.2018000;1.2051000;1135262
EURUSD;D;20210209;000000;1.2052200;1.2122000;1.2048000;1.2115600;948341
EURUSD;D;20210210;000000;1.2115800;1.2144100;1.2107000;1.2119100;1347315
EURUSD;D;20210211;000000;1.2117900;1.2149500;1.2111000;1.2129700;1071790
EURUSD;D;20210212;000000;1.2129700;1.2133200;1.2080000;1.2119000;1064696
EURUSD;D;20210214;000000;1.2098000;1.2125300;1.2091000;1.2120200;40138
EURUSD;D;20210215;000000;1.2120400;1.2145200;1.2115000;1.2131900;859406
EURUSD;D;20210216;000000;1.2131200;1.2169500;1.2084000;1.2087800;1349738
EURUSD;D;20210217;000000;1.2088200;1.2098500;1.2021000;1.2044400;1397992
EURUSD;D;20210218;000000;1.2045200;1.2095800;1.2034000;1.2090800;1264105
EURUSD;D;20210219;000000;1.2091800;1.2144500;1.2080000;1.2116700;1196032
EURUSD;D;20210221;000000;1.2111400;1.2129200;1.2111400;1.2124600;45934
EURUSD;D;20210222;000000;1.2123700;1.2169500;1.2089000;1.2162800;1393701
EURUSD;D;20210223;000000;1.2163700;1.2180100;1.2133000;1.2150500;1386454
EURUSD;D;20210224;000000;1.2149800;1.2174700;1.2107000;1.2168500;1754442
EURUSD;D;20210225;000000;1.2169400;1.2243200;1.2154000;1.2157400;2186811
EURUSD;D;20210226;000000;1.2157500;1.2182600;1.2060000;1.2071000;2459503
EURUSD;D;20210228;000000;1.2068000;1.2092000;1.2066500;1.2090400;65299
EURUSD;D;20210301;000000;1.2090200;1.2101200;1.2026000;1.2048500;1573284
EURUSD;D;20210302;000000;1.2047700;1.2094500;1.1990000;1.2084900;1630822
EURUSD;D;20210303;000000;1.2084100;1.2113300;1.2041000;1.2046400;1639801
EURUSD;D;20210304;000000;1.2046300;1.2063200;1.1959000;1.1967200;2025842
EURUSD;D;20210305;000000;1.1967200;1.1968700;1.1892000;1.1911000;2081281
EURUSD;D;20210307;000000;1.1912800;1.1932100;1.1912000;1.1925900;67199
EURUSD;D;20210308;000000;1.1925300;1.1932400;1.1842000;1.1850300;1764002
EURUSD;D;20210309;000000;1.1850800;1.1915800;1.1834000;1.1896900;1718099
EURUSD;D;20210310;000000;1.1896800;1.1930000;1.1867000;1.1924200;1585964
EURUSD;D;20210311;000000;1.1924200;1.1990000;1.1914000;1.1980800;1567034
EURUSD;D;20210312;000000;1.1980900;1.1988500;1.1908000;1.1951600;1452230
EURUSD;D;20210314;000000;1.1938000;1.1954400;1.1938000;1.1949300;66758
EURUSD;D;20210315;000000;1.1949900;1.1967500;1.1909000;1.1925400;1230337
EURUSD;D;20210316;000000;1.1926400;1.1951900;1.1881000;1.1901600;1263439
EURUSD;D;20210317;000000;1.1901300;1.1987500;1.1884000;1.1982600;1365070
EURUSD;D;20210318;000000;1.1982200;1.1988900;1.1904000;1.1917400;1598470
EURUSD;D;20210319;000000;1.1916900;1.1937200;1.1872000;1.1904000;1316586
EURUSD;D;20210321;000000;1.1903200;1.1903200;1.1870000;1.1883500;64404
EURUSD;D;20210322;000000;1.1883600;1.1947000;1.1873000;1.1932000;1208735
EURUSD;D;20210323;000000;1.1932200;1.1940900;1.1835000;1.1839600;1236944
EURUSD;D;20210324;000000;1.1839600;1.1851000;1.1807000;1.1811900;1016819
EURUSD;D;20210325;000000;1.1812700;1.1827800;1.1760000;1.1774700;1090291
EURUSD;D;20210326;000000;1.1775500;1.1805300;1.1770000;1.1792800;844396
EURUSD;D;20210328;000000;1.1793000;1.1793700;1.1784000;1.1787400;42856
EURUSD;D;20210329;000000;1.1787500;1.1794000;1.1759000;1.1767000;941706
EURUSD;D;20210330;000000;1.1767700;1.1774000;1.1710000;1.1723200;914036
EURUSD;D;20210331;000000;1.1723100;1.1759800;1.1702000;1.1726800;994216
EURUSD;D;20210401;000000;1.1726200;1.1782700;1.1711000;1.1777200;975967
EURUSD;D;20210402;000000;1.1776900;1.1786700;1.1747000;1.1761000;483927
EURUSD;D;20210404;000000;1.1734000;1.1767900;1.1734000;1.1766600;57371
EURUSD;D;20210405;000000;1.1767500;1.1819500;1.1736000;1.1816700;629140
EURUSD;D;20210406;000000;1.1815900;1.1877600;1.1794000;1.1873600;949743
EURUSD;D;20210407;000000;1.1873700;1.1914800;1.1859000;1.1872400;1049003
EURUSD;D;20210408;000000;1.1872300;1.1927500;1.1859000;1.1914500;1129944
EURUSD;D;20210409;000000;1.1915100;1.1920100;1.1866000;1.1900800;1068399
EURUSD;D;20210411;000000;1.1897000;1.1904100;1.1887700;1.1895300;48575
EURUSD;D;20210412;000000;1.1895800;1.1919200;1.1869000;1.1911800;1044590
EURUSD;D;20210413;000000;1.1911600;1.1956000;1.1876200;1.1953700;1231123
EURUSD;D;20210414;000000;1.1952000;1.1987400;1.1949000;1.1982800;1102128
EURUSD;D;20210415;000000;1.1982300;1.1993300;1.1954000;1.1969200;1069967
EURUSD;D;20210416;000000;1.1969300;1.1994800;1.1949000;1.1982300;954541
EURUSD;D;20210418;000000;1.1982000;1.1982000;1.1964700;1.1968600;53593
EURUSD;D;20210419;000000;1.1968900;1.2048100;1.1941000;1.2042400;1253064
EURUSD;D;20210420;000000;1.2042500;1.2079800;1.2021000;1.2032400;1226820
EURUSD;D;20210421;000000;1.2031400;1.2043700;1.1997000;1.2037100;1052657
EURUSD;D;20210422;000000;1.2037200;1.2069700;1.1992000;1.2013900;1320205
EURUSD;D;20210423;000000;1.2014400;1.2100000;1.2011000;1.2096500;1087948
EURUSD;D;20210425;000000;1.2098000;1.2098600;1.2087000;1.2089100;47895
EURUSD;D;20210426;000000;1.2089200;1.2117000;1.2059000;1.2079500;1112255
EURUSD;D;20210427;000000;1.2079500;1.2093000;1.2055000;1.2089100;1077118
EURUSD;D;20210428;000000;1.2089000;1.2135500;1.2054000;1.2134700;1347439
EURUSD;D;20210429;000000;1.2133900;1.2150000;1.2100000;1.2123000;1206639
EURUSD;D;20210430;000000;1.2123600;1.2126600;1.2015000;1.2019000;1212493
EURUSD;D;20210502;000000;1.2020000;1.2035000;1.2019400;1.2026900;40976
EURUSD;D;20210503;000000;1.2026200;1.2076200;1.2011000;1.2058000;996319
EURUSD;D;20210504;000000;1.2058800;1.2060100;1.1997000;1.2013700;1340245
EURUSD;D;20210505;000000;1.2014200;1.2026700;1.1984000;1.2007200;1156598
EURUSD;D;20210506;000000;1.2006700;1.2071900;1.1991000;1.2064800;1253290
EURUSD;D;20210507;000000;1.2064000;1.2171500;1.2051000;1.2162500;1440609
EURUSD;D;20210509;000000;1.2162000;1.2176900;1.2159800;1.2170400;74351
EURUSD;D;20210510;000000;1.2170500;1.2178300;1.2125700;1.2139700;1792410
EURUSD;D;20210511;000000;1.2140100;1.2181700;1.2121000;1.2144200;1990608
EURUSD;D;20210512;000000;1.2143200;1.2152200;1.2064000;1.2077400;2254439
EURUSD;D;20210513;000000;1.2077400;1.2106100;1.2050000;1.2076500;2228487
EURUSD;D;20210514;000000;1.2076500;1.2147700;1.2069000;1.2145100;1736827
EURUSD;D;20210516;000000;1.2148000;1.2151200;1.2137500;1.2149700;60788
EURUSD;D;20210517;000000;1.2149600;1.2169000;1.2124000;1.2156300;1642114
EURUSD;D;20210518;000000;1.2156100;1.2234100;1.2152000;1.2222300;1611453
EURUSD;D;20210519;000000;1.2222400;1.2245500;1.2158000;1.2170400;2078353
EURUSD;D;20210520;000000;1.2169600;1.2230100;1.2167000;1.2224200;1683860
EURUSD;D;20210521;000000;1.2224000;1.2239900;1.2159000;1.2178000;1681445
EURUSD;D;20210523;000000;1.2178000;1.2184400;1.2171000;1.2180700;61410
EURUSD;D;20210524;000000;1.2180600;1.2230000;1.2173000;1.2213900;1556051
EURUSD;D;20210525;000000;1.2213900;1.2266400;1.2210000;1.2247000;1682662
EURUSD;D;20210526;000000;1.2246000;1.2263000;1.2180000;1.2192000;1543405
EURUSD;D;20210527;000000;1.2191200;1.2215100;1.2173000;1.2192500;1602258
EURUSD;D;20210528;000000;1.2192700;1.2205000;1.2130600;1.2189000;1536989
EURUSD;D;20210530;000000;1.2194000;1.2200300;1.2187000;1.2189000;27227
EURUSD;D;20210531;000000;1.2189200;1.2234500;1.2181400;1.2232300;734819
EURUSD;D;20210601;000000;1.2232000;1.2254400;1.2209500;1.2216600;1186427
EURUSD;D;20210602;000000;1.2216600;1.2226500;1.2162000;1.2209200;1496397
EURUSD;D;20210603;000000;1.2209300;1.2214200;1.2116000;1.2129800;1452388
EURUSD;D;20210604;000000;1.2129800;1.2185800;1.2101900;1.2164000;1425512
EURUSD;D;20210606;000000;1.2159600;1.2167700;1.2159100;1.2166300;40363
EURUSD;D;20210607;000000;1.2166300;1.2201800;1.2142900;1.2189000;1160431
EURUSD;D;20210608;000000;1.2189700;1.2194200;1.2162000;1.2171600;1293376
EURUSD;D;20210609;000000;1.2171600;1.2218000;1.2169000;1.2178300;1083059
EURUSD;D;20210610;000000;1.2178300;1.2194700;1.2141200;1.2172400;1583708
EURUSD;D;20210611;000000;1.2172400;1.2193000;1.2090700;1.2108000;1256755
EURUSD;D;20210613;000000;1.2107000;1.2112200;1.2099700;1.2109400;44282
EURUSD;D;20210614;000000;1.2109300;1.2130600;1.2092000;1.2121600;1083358
EURUSD;D;20210615;000000;1.2121600;1.2147300;1.2099000;1.2124400;1184020
EURUSD;D;20210616;000000;1.2124400;1.2135000;1.1985000;1.1994900;1638628
EURUSD;D;20210617;000000;1.1995200;1.2006300;1.1890000;1.1912700;1971464
EURUSD;D;20210618;000000;1.1912800;1.1925000;1.1846000;1.1859200;1955966
EURUSD;D;20210620;000000;1.1857000;1.1877800;1.1854200;1.1870000;59748
EURUSD;D;20210621;000000;1.1870300;1.1921400;1.1846000;1.1911100;1744696
EURUSD;D;20210622;000000;1.1911700;1.1952700;1.1879000;1.1936000;1406866
EURUSD;D;20210623;000000;1.1936200;1.1970100;1.1910000;1.1929600;1383243
EURUSD;D;20210624;000000;1.1929600;1.1956300;1.1916000;1.1927700;1316437
EURUSD;D;20210625;000000;1.1927800;1.1975300;1.1924000;1.1933000;1189552
EURUSD;D;20210627;000000;1.1928000;1.1942100;1.1928000;1.1940700;40742
EURUSD;D;20210628;000000;1.1941200;1.1944500;1.1900000;1.1928400;1285564
EURUSD;D;20210629;000000;1.1928600;1.1930000;1.1876000;1.1899400;1273368
EURUSD;D;20210630;000000;1.1900100;1.1909000;1.1843000;1.1855000;1386635
EURUSD;D;20210701;000000;1.1855800;1.1884200;1.1836000;1.1844800;1378390
EURUSD;D;20210702;000000;1.1845700;1.1874300;1.1806000;1.1862000;1408653
EURUSD;D;20210704;000000;1.1837000;1.1869000;1.1837000;1.1855600;44997
EURUSD;D;20210705;000000;1.1855500;1.1880600;1.1850000;1.1862500;925971
EURUSD;D;20210706;000000;1.1862400;1.1895200;1.1805000;1.1822100;1580791
EURUSD;D;20210707;000000;1.1822100;1.1836400;1.1780000;1.1792100;1500240
EURUSD;D;20210708;000000;1.1792900;1.1867800;1.1782000;1.1846100;1710517
EURUSD;D;20210709;000000;1.1845500;1.1881200;1.1823000;1.1874600;1322239
